student_id,date,grade,subject,paper,year,session,url
42e5c15e-33f4-4c8e-a496-9b35967d3853,10-07-25,EGCSE,Physical Science,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2024 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,10-07-25,EGCSE,Physical Science,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2024 Additional Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,13-07-25,EGCSE,Religious Education,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,14-07-25,EGCSE,Siswati as a Second Language,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,15-07-25,IGCSE,Business Studies,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,16-07-25,EGCSE,Design and Technology,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,17-07-25,IGCSE,English Language,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,17-07-25,IGCSE,English Language,Paper 1 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,20-07-25,EGCSE,First Language SiSwati,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2023 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,21-07-25,IGCSE,Geography,Paper 1,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,21-07-25,IGCSE,Geography,Paper 1 - Insert,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_12.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,22-07-25,IGCSE,Literature in English,Paper 1,2022,June,https://pastpapers.co/cie/IGCSE/English-Literature-0475/2022-May-June/0475_s22_qp_11.pdf
