grade,subject,year,url
EGCSE,Religious Education,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2022 Question Paper 1.pdf
EGCSE,Religious Education,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2022 Question Paper 2.pdf
EGCSE,Religious Education,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2020 Question Paper 1.pdf
EGCSE,Religious Education,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2020 Question Paper 2.pdf
EGCSE,Religious Education,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2023 Question Paper 1.pdf
EGCSE,Religious Education,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2023 Question Paper 2.pdf
EGCSE,Religious Education,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 1.pdf
EGCSE,Religious Education,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 2.pdf
