grade,subject,year,url
EGCSE,Economics,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2022 Question Paper 1.pdf
EGCSE,Economics,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2022 Question Paper 2.pdf
EGCSE,Economics,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2020 Question Paper 1.pdf
EGCSE,Economics,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2020 Question Paper 2.pdf
EGCSE,Economics,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2023 Question Paper 1.pdf
EGCSE,Economics,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2023 Question Paper 2.pdf
EGCSE,Economics,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2024 Question Paper 1.pdf
EGCSE,Economics,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Economics 2024 Question Paper 2.pdf
