grade,subject,year,session,url,path
JC,Business Studies,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2021 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2021\November\JC Business studies 2021 Question Paper 1.pdf
JC,SiSwati,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2024 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2024\November\JC Siswati 2024 Question Paper 2.pdf
IGCSE,Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_21.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\Mathematics\2023\November\0607_w23_qp_21.pdf
JC,Business Studies,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2023 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2023\November\JC Business studies 2023 Question Paper 1.pdf
JC,SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2023 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2023\November\JC Siswati 2023 Question Paper 3.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\English Language\2023\November\JC English Language 2023 Question Paper 3.pdf
JC,Religious Education,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2020 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2020\November\JC Religious Education 2020 Question Paper 1.pdf
JC,Consumer Science,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Consumer Science 2021 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Consumer Science\2021\November\JC Consumer Science 2021 Question Paper 2.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_12.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_qp_12.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_12.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_in_12.pdf
JC,Religious Education,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2024 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2024\November\JC Religious Education 2024 Question Paper 1.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_21.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_qp_21.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_21.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_in_21.pdf
JC,English Literature,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Literature 2024 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\English Literature\2024\November\JC English Literature 2024 Question Paper 1.pdf
JC,SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2023 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2023\November\JC Siswati 2023 Question Paper 1.pdf
JC,Consumer Science,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Consumer Science 2022 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Consumer Science\2022\November\JC Consumer Science 2022 Question Paper 2.pdf
JC,Business Studies,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2021 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2021\November\JC Business studies 2021 Question Paper 2.pdf
JC,Religious Education,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2021 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2021\November\JC Religious Education 2021 Question Paper 2.pdf
JC,Mathematics,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Mathematics 2022 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Mathematics\2022\November\JC Mathematics 2022 Question Paper 2.pdf
JC,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2024 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\English Language\2024\November\JC English Language 2024 Question Paper 1.pdf
JC,Mathematics,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Mathematics 2023 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Mathematics\2023\November\JC Mathematics 2023 Question Paper 1.pdf
JC,Science,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Science 2024 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Science\2024\November\JC Science 2024 Question Paper 1.pdf
JC,SiSwati,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2020 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2020\November\JC Siswati 2020 Question Paper 1.pdf
IGCSE,Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_23.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\Mathematics\2023\November\0607_w23_qp_23.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_12.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\Business Studies\2023\November\0450_w23_qp_12.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\Business Studies\2023\June\0450_s23_qp_11.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 4.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\English Language\2023\November\JC English Language 2023 Question Paper 4.pdf
JC,Religious Education,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2021 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2021\November\JC Religious Education 2021 Question Paper 1.pdf
JC,Mathematics,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Mathematics 2021 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Mathematics\2021\November\JC Mathematics 2021 Question Paper 1.pdf
