grade,subject,year,url
JC,Bookkeeping and Accounts,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/JC bookkeeping and Accounts 2020 Question Paper 1.pdf
JC,Bookkeeping and Accounts,2021,https://www.examscouncil.org.sz/upload-centre/past_papers/JC bookkeeping and Accounts 2021 Question Paper 1.pdf
JC,Bookkeeping and Accounts,2021,https://www.examscouncil.org.sz/upload-centre/past_papers/JC bookkeeping and Accounts 2021 Question Paper 2.pdf
JC,Bookkeeping and Accounts,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/JC bookkeeping and Accounts 2022 Question Paper 1.pdf
JC,Bookkeeping and Accounts,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/JC bookkeeping and Accounts 2022 Question Paper 2.pdf
JC,Bookkeeping and Accounts,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Bookkeeping and Accounts 2023 Question Paper 1.pdf
JC,Bookkeeping and Accounts,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Bookkeeping and Accounts 2023 Question Paper 2.pdf
JC,Bookkeeping and Accounts,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Bookkeeping and Accounts 2024 Question Paper 1.pdf
JC,Bookkeeping and Accounts,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Bookkeeping and Accounts 2024 Question Paper 2.pdf
