grade,subject,year,url
JC,Additional Mathematics,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2020 Question Paper 1.pdf
JC,Additional Mathematics,2021,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2021 Question Paper 1.pdf
JC,Additional Mathematics,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2022 Question Paper 1.pdf
JC,Additional Mathematics,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2023 Question Paper 1.pdf
JC,Additional Mathematics,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2024 Question Paper 1.pdf
