grade,subject,year,session,url
JC,Development Studies,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Development Studies 2020 Question Paper 1.pdf
JC,Development Studies,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Development Studies 2022 Question Paper 1.pdf
JC,Development Studies,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Development Studies 2023 Question Paper 1.pdf
JC,Development Studies,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Development Studies 2024 Question Paper 1.pdf
